Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
MDSCs_150Nd_STAT5_GMCSF,0.1064704632855035,1.0
CD56loCD16posNK_154Sm_STAT3_IFNa,0.10666980615459383,1.0
NKT_168Er_STAT6_IL246,0.10694568009533627,1.0
Granulocytes_159Tb_MAPKAPK2_IL246,0.10745577274667235,1.0
ncMCs_159Tb_MAPKAPK2_GMCSF,0.10783415521785279,1.0
ncMCs_166Er_NFkB_IFNa,0.10828409870783116,1.0
CD4Tem_168Er_STAT6_IFNa,0.10865607292158978,1.0
CD8Tcm_167Er_ERK_IFNa,0.10912448290736211,1.0
MDSCs_166Er_NFkB_unstim,0.10927756055462158,1.0
MDSCs_149Sm_CREB_IL246,0.10955932453647535,1.0
CD4negCD8negTcells_149Sm_CREB_IL246,0.11131548909136821,1.0
CD8Tem_168Er_STAT6_IFNa,0.11165762375501549,1.0
CD56loCD16posNK_149Sm_CREB_unstim,0.11187485189645391,1.0
CD4Tcm_150Nd_STAT5_IL246,0.1135312999668521,1.0
MDSCs_150Nd_STAT5_unstim,0.11399025026510143,1.0
pDCs_159Tb_MAPKAPK2_IFNa,0.11519813809320098,1.0
CD8Tnaive_149Sm_CREB_unstim,0.115206516989804,1.0
CD4Tem_167Er_ERK_unstim,0.11655052148544622,1.0
CD8Tcm_168Er_STAT6_unstim,0.11680023911302043,1.0
Tregs_156Gd_IkB_IL246,0.11689718022546189,1.0
CD4Tem_150Nd_STAT5_IL246,0.1174545250881053,1.0
CD4Tem_168Er_STAT6_unstim,0.11792654932910748,1.0
CD4negCD8negTcells_149Sm_CREB_IFNa,0.11852838187243446,1.0
CD56hiCD16negNK_159Tb_MAPKAPK2_LPS,0.1203636333806674,1.0
intMCs_168Er_STAT6_IFNa,0.12112477417068877,1.0
MDSCs_149Sm_CREB_IFNa,0.1217283451556404,1.0
MDSCs_166Er_NFkB_GMCSF,0.1223278765238032,1.0
MDSCs_159Tb_MAPKAPK2_unstim,0.12343457210266676,1.0
CD8Teff_155Gd_S6_IFNa,0.12441186136684484,1.0
CD4negCD8negTcells_149Sm_CREB_unstim,0.12462785683679511,1.0
Bcells_154Sm_STAT3_IL246,0.12469529506966001,1.0
cMCs_156Gd_IkB_LPS,0.12482481646740763,1.0
CD56hiCD16negNK_150Nd_STAT5_unstim,0.12612354289924949,1.0
CD8Tem_167Er_ERK_unstim,0.12809541128752122,1.0
