,Mann-Whitney U-test,p-value
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2968.5,0.061183752296080474
Myeloid Granulocytes_tumorfront_pMAPKAPK2,2968.0,0.0627842388572567
CD4 T cells naive_tumorfront_eccentricity,2966.0,0.06387061465532623
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,2959.5,0.06473834757726069
Myeloid M1 macrophages_stromal_pSTAT1,2963.0,0.06592430715076951
Myeloid DCs_tumorfront_pSTAT3,2960.0,0.06669667476078811
CD4 T cells regulatory_stromal_pMAPKAPK2,2960.0,0.06766003005260292
CD4 T cells regulatory_tumorfront_eccentricity,2959.0,0.06788487072592533
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,2945.0,0.06898000677380428
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2954.5,0.0693191940858717
CD4 T cells naive_tumorfront_pSTAT1,2956.5,0.06964116236935504
CD4 T cells naive_tumorfront_E-Cadherin,2956.0,0.0699591519856866
Tumor non-proliferating_intratumor_CD36,2955.0,0.07087996006606082
Myeloid DCs_tumorfront_CD44,2952.0,0.07212547943605774
Tumor non-proliferating_tumorfront_celldistance,2953.0,0.07216548746264098
Myeloid Monocytes_tumorfront_area,2952.5,0.07248265273755632
Fibroblasts_stromal_area,2952.0,0.07281537577881132
Tumor non-proliferating_intratumor_pCREB,2951.0,0.07347004604136767
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,2949.5,0.07420253273211722
Myeloid Granulocytes_stromal_area,2949.5,0.07444405610484015
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2945.0,0.0750909665995102
Fibroblasts_stromal_aggregatedNeighbors.Vessel,2077.0,0.07546268420865133
Myeloid Granulocytes_tumorfront_Ki67,2078.0,0.07578021281356952
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,2084.5,0.07590613296823365
Myeloid Monocytes_stromal_pSTAT1,2946.0,0.07681442740137756
Myeloid M2 macrophages_stromal_area,2945.5,0.07715698087670918
Fibroblasts_stromal_aggregatedNeighbors.B.cells,2943.0,0.07837271125081834
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2938.0,0.07844636212894113
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,2082.5,0.07898657787031366
Myeloid DCs_tumorfront_CD36,2941.0,0.07955657905465069
Vessel_stromal_area,2941.0,0.08028508097682592
Tumor proliferating_stromal_cellfrequency,2113.0,0.08212791027290547
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,2932.0,0.0827616823941531
Myeloid M2 macrophages_tumorfront_pSTAT3,2937.0,0.08309782359820211
B cells_stromal_CD36,2936.0,0.08364846580685802
Myeloid Granulocytes_tumorfront_CD44,2936.0,0.08369550218102444
B cells_tumorfront_GranzymeB,2932.5,0.08391111216992199
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,2089.5,0.08424374257231752
Myeloid DCs_stromal_pSTAT3,2933.0,0.08597970002790731
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,2931.0,0.08623987762785414
Fibroblasts_stromal_pERK,2093.0,0.08684957588409577
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,2931.0,0.08714478795304485
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2093.5,0.08715837910480406
Fibroblasts_tumorfront_celldistance,2094.0,0.08760497638900284
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel,2095.0,0.08775291888062225
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,2930.5,0.08785421172568539
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2101.5,0.08786744185304741
CD4 T cells naive_tumorfront_pp38,2930.0,0.08804212861367637
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2096.5,0.08951298710550042
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2922.5,0.08999518700584797
Tumor proliferating_tumorfront_VEGF,2927.5,0.09028362394128221
Myeloid DCs_tumorfront_VEGF,2926.0,0.09068058081507743
Vessel_stromal_Ki67,2099.0,0.09146183675464707
Myeloid DCs_stromal_eccentricity,2921.0,0.09532762825247777
Myeloid M1 macrophages_stromal_area,2919.5,0.09667780984247429
Myeloid Monocytes_tumorfront_pSTAT1,2917.5,0.0983232723974244
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2904.5,0.09872401832122837
Tumor non-proliferating_intratumor_pp38,2917.0,0.09874722013283484
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2909.0,0.09964088964400968
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,2110.0,0.10031634610601242
B cells_tumorfront_celldistance,2113.5,0.10060953749607153
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,2111.0,0.10124824845856717
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel,2112.0,0.10212260137242109
CD4 T cells memory_tumorfront_area,2913.0,0.1021261941247936
Myeloid M1 macrophages_tumorfront_CD44,2913.0,0.10213050541134253
Vessel_tumorfront_pERK,2112.0,0.10213050541134253
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2114.0,0.10288866661078674
CD4 T cells memory_stromal_CD36,2911.5,0.1034220519520646
Tumor non-proliferating_intratumor_CD44,2114.0,0.10385640850941737
Myeloid Granulocytes_stromal_E-Cadherin,2910.0,0.10470036205965404
Myeloid M1 macrophages_stromal_pSTAT3,2909.5,0.10516561725081812
CD4 T cells regulatory_tumorfront_pNFkB,2908.5,0.10535389954299046
CD4 T cells regulatory_tumorfront_pp38,2908.0,0.10549049740180222
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2903.0,0.1064127490391965
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,2118.5,0.10647471423205052
B cells_tumorfront_pSTAT1,2904.0,0.1067115650839914
Tumor proliferating_intratumor_pS6,2907.0,0.10732061180144176
Fibroblasts_stromal_eccentricity,2907.0,0.1073776916385408
B cells_stromal_eccentricity,2906.0,0.10800822579974886
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2903.5,0.10857059288899343
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,2904.0,0.10865373758738066
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,2888.0,0.10930346846964678
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,2904.0,0.10981814580823654
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,2904.0,0.10993632113771167
Myeloid Monocytes_tumorfront_CD44,2903.5,0.11053168536483372
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,2892.5,0.1108367741869449
Myeloid M1 macrophages_stromal_CD36,2901.0,0.11283615946373358
Myeloid Granulocytes_tumorfront_cellfrequency,2900.0,0.11355097197668136
Myeloid Monocytes_stromal_pSTAT3,2900.0,0.11376642537741073
