cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
CD8Tef_NFkB_IFNa,489.54949697617604,-491.3513395414513,0.1469956704299222,8.737537751900282e-6,8.319642469961618e-4,quadratic,deceleration/decrease
CD8Tef_ERK_IFNa,773.3965356707677,-771.5077206125637,0.05851554655077475,-5.836733869465794e-7,2.955525341414982e-5,quadratic,deceleration/increase
CD8Tef_STAT6_IFNa,211.67352890301785,-214.30461648989777,0.092764346934188,-2.431659424005134e-5,-0.0025645804200051955,quadratic,acceleration/decrease
CD62LposCD8Tnaive_CREB_IFNa,1286.9838194146926,-1285.693500092455,0.5604642000768344,-2.659203925916313e-7,-3.136292591324865e-5,quadratic,acceleration/decrease
CD62LposCD8Tnaive_STAT5_IFNa,93.89042460089196,89.64219827907698,8.128665843302368e-4,-7.800551468621568e-5,-0.0053766848932505626,quadratic,deceleration/increase
CD62LposCD8Tnaive_p38_IFNa,641.8597829554126,-644.9635468948086,0.06430019662369052,-6.080060042984307e-6,-5.562569045753957e-4,quadratic,deceleration/increase
CD62LposCD8Tnaive_STAT1_IFNa,59.20144466497345,58.09135671967782,3.4357933571184945e-11,-4.9280541900492655e-5,4.722748354730031e-4,quadratic,deceleration/increase
CD62LposCD8Tnaive_STAT3_IFNa,191.5121039033427,185.234979845525,2.8203002234545774e-4,-1.2389443615002312e-4,-0.009001736684327181,quadratic,deceleration/increase
CD62LposCD8Tnaive_S6_IFNa,824.7743961316835,-822.8278278674202,0.7351160795419811,3.4096615711558887e-7,4.714406094199281e-5,quadratic,acceleration/increase
CD62LposCD8Tnaive_IkB_IFNa,609.8236865152907,-607.898501892188,0.03242899884951117,8.259706479751396e-7,2.5381222723024484e-4,quadratic,acceleration/increase
CD62LposCD8Tnaive_MAPKAPK2_IFNa,723.4178249259124,-723.6561825212725,0.003415802052269642,-3.0826594187147257e-6,-1.3960554738464757e-4,quadratic,deceleration/increase
CD62LposCD8Tnaive_NFkB_IFNa,602.7699477421249,-600.8515848614056,0.17210745343181572,8.833227409937533e-7,-2.3457678964445318e-5,quadratic,deceleration/decrease
CD62LposCD8Tnaive_ERK_IFNa,777.1573828212493,-775.7234234410203,0.2318080212842479,-1.2995626127951498e-6,-7.500668196601902e-5,quadratic,deceleration/increase
CD62LposCD8Tnaive_STAT6_IFNa,118.22786034301002,-125.99415360295268,0.00318715549927667,-4.780962476963126e-5,-0.004196022727377156,quadratic,deceleration/increase
NKT_CREB_IFNa,701.5155162490901,-701.8772527068356,0.03222002956696427,3.4056051211310477e-6,4.658179170959377e-4,quadratic,acceleration/increase
NKT_STAT5_IFNa,39.172164982610795,41.15253827765687,0.030484328204112014,-3.680870560829124e-6,0.0011420880283760867,linear,linear
NKT_p38_IFNa,496.30844707631854,-497.88052148681504,0.17096043494987057,-8.283870430747287e-6,-8.051807756828993e-4,quadratic,deceleration/increase
NKT_STAT1_IFNa,45.517590937331335,-43.54343989665414,3.9288046298913195e-12,-3.185245403238109e-6,0.0036196532090723415,quadratic,deceleration/increase
NKT_STAT3_IFNa,108.36198438718142,106.94582617740002,0.003328721956188891,-6.08141386944255e-5,-0.003550900057465844,quadratic,deceleration/increase
NKT_S6_IFNa,646.6810858013921,-646.3805574065668,0.1384075877633479,-3.4721204283876e-6,-2.4159667858995399e-4,quadratic,deceleration/increase
