,Mann-Whitney U-test,p-value
Tumor non-proliferating_stromal_cellfrequency,417.0,0.014227220151199267
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,842.0,0.014809658010853571
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,842.0,0.014855881941896954
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,842.0,0.014893748192638594
Myeloid Granulocytes_stromal_pCREB,842.0,0.014978889555615245
Tumor non-proliferating_tumorfront_E-Cadherin,842.0,0.014995774249597058
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,830.0,0.015022994459026417
B cells_stromal_pSTAT1,840.0,0.015378795608471232
Tumor proliferating_intratumor_pSTAT3,840.0,0.015869346293609584
CD8 T cells_tumorfront_CD44,840.0,0.015944379516433006
CD8 T cells_tumorfront_pp38,840.0,0.015944379516433006
Tumor non-proliferating_intratumor_CD44,420.0,0.015975319294526273
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,839.0,0.016069183589135148
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,818.5,0.01611947997646241
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,838.0,0.016579810347361064
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,838.0,0.016977376474385276
CD4 T cells memory_tumorfront_GranzymeB,838.0,0.017009758469928665
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,837.0,0.017121541336848078
Tumor proliferating_tumorfront_pSTAT3,837.5,0.0172776140751008
Tumor proliferating_intratumor_pS6,837.0,0.017436656254067942
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,837.0,0.017436656254067942
CD8 T cells_intratumor_pS6,833.0,0.01753842535158897
Tumor non-proliferating_intratumor_pSTAT3,837.0,0.01755010870564037
B cells_stromal_aggregatedNeighbors.B.cells,828.0,0.01767900392747518
B cells_stromal_GranzymeB,835.0,0.018005864553376483
Vessel_stromal_VEGF,835.0,0.01867410788062806
CD4 T cells regulatory_tumorfront_pERK,834.0,0.01897079204184953
B cells_tumorfront_GranzymeB,826.5,0.01906345682173804
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,833.0,0.019161044700073102
B cells_stromal_cellfrequency,833.0,0.01916206467177416
CD4 T cells regulatory_stromal_CD36,833.5,0.019522159610148148
CD4 T cells regulatory_tumorfront_Ki67,833.0,0.019633520652462745
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,799.0,0.019726242188065592
Fibroblasts_tumorfront_celldistance,427.0,0.019860588142717975
Myeloid DCs_stromal_pp38,833.0,0.019860588142717975
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,824.0,0.02011445071561853
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,832.5,0.02013488920224901
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,825.5,0.020625859768815487
CD8 T cells_stromal_pMAPKAPK2,831.5,0.020782453135951274
B cells_stromal_aggregatedNeighbors.CD8.T.cells,828.0,0.02082960429606912
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,823.5,0.020970761422579427
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.DCs,827.0,0.021170780088681906
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,829.5,0.021584838993576386
CD4 T cells naive_tumorfront_GranzymeB,828.5,0.021679061253080764
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel,430.0,0.021761424556231878
