,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
CD8Teff_151Eu_p38_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,309,0.0,0.0,673,0.0,0.0,333,406.0
CD56loCD16posNK_155Gd_S6_IL246,0.1299747165833124,0.1129040367515867,0.0,0.0,453,0.0,0.0,207,0.0,0.0,511,406.0
Bcells_154Sm_STAT3_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,310,0.0,0.0,672,0.0,0.0,332,406.0
intMCs_149Sm_CREB_IL246,0.1288882896186982,0.1159711522148307,0.0,0.0,457,0.0,0.0,202,0.0,0.0,508,406.0
CD8Tcm_168Er_STAT6_IL246,0.2299011037476146,0.0046524917039741,0.0,0.0,506,0.0,0.0,80,0.0,0.0,533,406.25
ncMCs_168Er_STAT6_IFNa,0.0920768373364988,0.2624347310314831,0.0,0.0,606,0.0,0.0,316,0.03290862424434013,0.019119209411980077,98,406.5
CD8Teff_151Eu_p38_IFNa,0.1264983533136295,0.1229460838361916,0.0,0.0,485,0.0,0.0,195,0.0,0.0,462,406.75
mDCs_149Sm_CREB_LPS,0.2585891768197675,0.0013978836222077,0.0,0.0,517,0.0,0.0,48,0.0,0.0,546,407.0
intMCs_166Er_NFkB_IL246,0.231095995597403,0.0044372610181796,0.0,0.0,507,0.0,0.0,81,0.0,0.0,534,407.25
intMCs_156Gd_IkB_GMCSF,0.1297488962486054,0.1135362890911573,0.0,0.0,454,0.0,0.0,208,0.0,0.0,513,407.25
CD8Tem_151Eu_p38_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,335,0.0,0.0,584,0.0,0.0,376,407.5
Granulocytes_168Er_STAT6_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,337,0.0,0.0,586,0.0,0.0,371,407.75
intMCs_166Er_NFkB_GMCSF,0.2529258873233744,0.0017918926330289,0.0,0.0,518,0.0,0.0,49,0.0,0.0,547,408.0
cMCs_166Er_NFkB_LPS,0.2045701077772482,0.0120349657116726,0.0,0.0,508,0.0,0.0,82,0.0,0.0,535,408.25
CD8Tem_153Eu_STAT1_unstim,0.0302759942311566,0.7130327490210886,0.0,0.0,336,0.0,0.0,585,0.0,0.0,377,408.5
Granulocytes_149Sm_CREB_IFNa,0.0071071171482208,0.9312144435990364,0.0,0.0,289,0.0,0.0,728,0.0,0.0,330,409.0
