,Mann-Whitney U-test,p-value
Myeloid Granulocytes_stromal_pSTAT1,2591.5,0.7483204911470044
Myeloid Monocytes_stromal_pCREB,2591.0,0.7499164103369371
CD4 T cells memory_tumorfront_pCREB,2590.5,0.7514639351984624
Myeloid Monocytes_tumorfront_pp38,2590.5,0.7514639351984624
Vessel_tumorfront_E-Cadherin,2590.0,0.7530177503317694
Myeloid DCs_stromal_pCREB,2589.0,0.7560327152658078
Myeloid Monocytes_tumorfront_VEGF,2588.5,0.7576719282044233
Myeloid M1 macrophages_stromal_Ki67,2588.0,0.7592318475087567
Vessel_tumorfront_pSTAT3,2587.0,0.7623447642103577
Tumor proliferating_tumorfront_pMAPKAPK2,2586.5,0.7638976281469038
CD4 T cells naive_tumorfront_GranzymeB,2585.0,0.7683532635247924
Myeloid DCs_stromal_Ki67,2583.0,0.7745720600744028
Myeloid Monocytes_stromal_pERK,2443.0,0.77796523045634
Vessel_stromal_pCREB,2443.0,0.7779661366464738
CD4 T cells naive_tumorfront_pCREB,2581.0,0.7808842994606986
Myeloid M1 macrophages_stromal_pNFkB,2580.0,0.7842402955288084
CD4 T cells memory_stromal_pCREB,2448.5,0.795253241426269
CD4 T cells memory_stromal_pERK,2448.5,0.795253241426269
Fibroblasts_tumorfront_GranzymeB,2450.0,0.799986333777846
Vessel_tumorfront_CD36,2573.0,0.8063079778616449
Tumor proliferating_tumorfront_CD44,2571.5,0.8110534755984486
Myeloid M2 macrophages_stromal_pCREB,2454.5,0.8142276278678725
Fibroblasts_tumorfront_E-Cadherin,2455.0,0.8158140964054512
CD8 T cells_stromal_pNFkB,2455.5,0.8173992494628561
Myeloid M1 macrophages_stromal_pCREB,2569.0,0.8189889104856449
CD4 T cells naive_stromal_pCREB,2457.0,0.8220999664999384
Myeloid M2 macrophages_stromal_Ki67,2568.0,0.8221659621143272
Myeloid DCs_stromal_CD36,2457.5,0.8236739836407408
Myeloid M1 macrophages_tumorfront_pNFkB,2567.5,0.8237565037850141
CD4 T cells memory_tumorfront_pMAPKAPK2,2565.5,0.830121892999736
CD4 T cells memory_tumorfront_Ki67,2564.5,0.8333097117057023
Tumor non-proliferating_stromal_pSTAT3,2463.0,0.8411411223338073
Vessel_stromal_pp38,2562.0,0.8412929519600153
CD4 T cells naive_stromal_GranzymeB,2560.0,0.8476324234489385
Tumor non-proliferating_tumorfront_CD44,2465.0,0.8476898359718075
Myeloid M1 macrophages_tumorfront_E-Cadherin,2560.0,0.8476898359718075
Vessel_stromal_GranzymeB,2466.0,0.8508920722930482
Myeloid Monocytes_stromal_pNFkB,2558.0,0.8540966183104786
Myeloid M2 macrophages_tumorfront_pCREB,2557.0,0.8572955920276246
Vessel_stromal_pNFkB,2468.0,0.857303875842762
Myeloid DCs_tumorfront_pMAPKAPK2,2553.0,0.8698440999285629
Myeloid M2 macrophages_tumorfront_pNFkB,2552.0,0.8733663610407162
Vessel_tumorfront_pNFkB,2550.0,0.8798167133283222
Myeloid Granulocytes_stromal_VEGF,2548.0,0.8862586683499292
Tumor non-proliferating_intratumor_pERK,2477.0,0.8862676646377377
Myeloid Monocytes_tumorfront_pS6,2547.5,0.8878803142006728
Myeloid M2 macrophages_tumorfront_pMAPKAPK2,2479.0,0.8927199043902271
CD4 T cells regulatory_stromal_Ki67,2545.0,0.8958821475066806
Vessel_stromal_E-Cadherin,2482.0,0.9024271281625499
CD8 T cells_stromal_pCREB,2482.5,0.9040444127979912
B cells_stromal_pS6,2489.0,0.9250609718515311
Vessel_tumorfront_GranzymeB,2535.0,0.9283637924567931
